,System,TESS source,Cadence [s],Type,RAh,RAm,RAs,Decd,Decm,Decs,Vmag,Kmag,duration,depth,t0,T0err,period,Perioderr,Ephemeris_reference,R_A,R_b,R_b_over_R_A_squared,TIC,TESSMag,SNR,M_A,M_b,a(AU),(m_p/m_s)*(R_s/a)^5,Period(day)
376,XO-4,SPOC,120, TEP  ,7.0,21.0,33.17,58.0,16.0,5.0,10.67,9.41,0.18448,0.8,2455067.5685,0.0003,4.1250683,1.3E-07,arXiv:2012.07478,1.554,1.317,0.00724718592448868,51234631,10.1653,97.4161064247595,1.293,1.615,0.05485,4.73419476306904E-08,4.1250683
378,XO-6,SPOC,120, TEP  ,6.0,19.0,10.36,73.0,49.0,39.6,10.25,9.25,0.125,1.4,2456652.7157,0.0022,3.7649893,3.7E-06,arXiv:2009.10781,1.93,2.08,0.0117195769271658,138168780,9.88278,164.15311366216000,1.47,2.01,0.0725,3.79555632813813E-08,3.7649893
379,XO-7,SPOC,120, TEP  ,18.0,29.0,54.93,85.0,13.0,59.6,10.52,9.24,0.1155,0.9,2457917.47503,0.00045,2.8641424,4.3E-06,arXiv:1912.02821,1.48,1.373,0.00868395423147485,268403451,10.0521,92.3961293745998,1.405,0.709,0.04421,4.40530639442952E-08,2.8641424
301,WASP-110,TESS-SPOC,600, TEP  ,20.0,23.0,29.55,-44.0,3.0,30.3,12.27,10.7,0.11658,2.1,2457934.73871,0.00015,3.77840121,8.2E-07,arXiv:2105.06522,0.881,1.238,0.0199245882238479,425817867,12.0491,62.658771611671,0.892,0.51,0.0457,3.16085133136319E-09,3.77840121
10,HAT-P-01,QLP,1800, TEP  ,22.0,57.0,46.83,38.0,40.0,29.8,10.4,8.86,0.11875,1.7,2453979.93202,0.00024,4.46529976,5.5E-07,2014MNRAS.437...46N,1.174,1.319,0.0127365932451864,346338552,9.76031,207.615297807212,1.151,0.525,0.05561,3.97155146849979E-09,4.46529976
15,HAT-P-06,TESS-SPOC,1800, TEP  ,23.0,39.0,5.81,42.0,27.0,57.5,10.54,9.31,0.1461,1.0,2454035.67617,0.00025,3.853003,1.4E-06,2012ApJ...746..111T,1.518,1.395,0.00852127839664149,176899385,9.99577,119.130582972075,1.295,1.063,0.05244,3.4642493562508E-08,3.853003
27,HAT-P-19,TESS-SPOC,1800, TEP  ,0.0,38.0,4.02,34.0,42.0,41.7,12.9,10.55,0.11804,2.2,2457031.78609,0.00015,4.00878236,5E-07,arXiv:1911.07903,0.788,1.089,0.0192709536431667,267650535,11.9475,70.7921003180185,0.834,0.29,0.04649,1.010102648689E-09,4.00878236
33,HAT-P-25,TESS-SPOC,1800, TEP  ,3.0,13.0,44.51,25.0,11.0,50.7,13.19,10.81,0.113,1.9,2457006.91299,0.00021,3.65281591,6.7E-07,arXiv:1812.05882,0.919,1.135,0.0153907783044238,35022727,12.2192,49.625939749952,1.012,0.569,0.0466,3.48241025846555E-09,3.65281591
37,HAT-P-29,TESS-SPOC,1800, TEP  ,2.0,12.0,31.46,51.0,46.0,43.5,11.9,10.3,0.1463,0.9,2457092.00345,0.00128,5.72339773,7.2E-06,arXiv:1812.05882,1.237,1.064,0.007465239388224440,250707118,11.2791,50.0286951064074,1.199,0.767,0.0665,2.95812593172185E-09,5.72339773
40,HAT-P-32,TESS-SPOC,1800, TEP  ,2.0,4.0,10.27,46.0,41.0,16.2,11.29,9.99,0.12959,3.0,2458881.71392,0.00027,2.15000815,1.3E-07,arXiv:2007.13381,1.225,1.807,0.021955534276,292152376,10.7696,215.188925420506,1.182,0.8,0.03448,7.95457304664375E-08,2.15000815
